country,date,confirmed
Afghanistan,1/22/2020,0
Afghanistan,1/23/2020,0
Afghanistan,1/24/2020,0
Afghanistan,1/25/2020,0
Afghanistan,1/26/2020,0
Afghanistan,1/27/2020,0
Afghanistan,1/28/2020,0
Afghanistan,1/29/2020,0
Afghanistan,1/30/2020,0
Afghanistan,1/31/2020,0
Afghanistan,2/1/2020,0
Afghanistan,2/2/2020,0
Afghanistan,2/3/2020,0
Afghanistan,2/4/2020,0
Afghanistan,2/5/2020,0
Afghanistan,2/6/2020,0
Afghanistan,2/7/2020,0
Afghanistan,2/8/2020,0
Afghanistan,2/9/2020,0
Afghanistan,2/10/2020,0
Afghanistan,2/11/2020,0
Afghanistan,2/12/2020,0
Afghanistan,2/13/2020,0
Afghanistan,2/14/2020,0
Afghanistan,2/15/2020,0
Afghanistan,2/16/2020,0
Afghanistan,2/17/2020,0
Afghanistan,2/18/2020,0
Afghanistan,2/19/2020,0
Afghanistan,2/20/2020,0
Afghanistan,2/21/2020,0
Afghanistan,2/22/2020,0
Afghanistan,2/23/2020,0
Afghanistan,2/24/2020,1
Afghanistan,2/25/2020,1
Afghanistan,2/26/2020,1
Afghanistan,2/27/2020,1
Afghanistan,2/28/2020,1
Afghanistan,2/29/2020,1
Afghanistan,3/1/2020,1
Afghanistan,3/2/2020,1
Afghanistan,3/3/2020,1
Afghanistan,3/4/2020,1
Afghanistan,3/5/2020,1
Afghanistan,3/6/2020,1
Afghanistan,3/7/2020,1
Afghanistan,3/8/2020,4
Afghanistan,3/9/2020,4
Afghanistan,3/10/2020,5
Afghanistan,3/11/2020,7
Afghanistan,3/12/2020,7
Afghanistan,3/13/2020,7
Afghanistan,3/14/2020,11
Afghanistan,3/15/2020,16
Afghanistan,3/16/2020,21
Afghanistan,3/17/2020,22
Afghanistan,3/18/2020,22
Afghanistan,3/19/2020,22
Afghanistan,3/20/2020,24
Afghanistan,3/21/2020,24
Afghanistan,3/22/2020,40
Afghanistan,3/23/2020,40
Afghanistan,3/24/2020,74
Afghanistan,3/25/2020,84
Afghanistan,3/26/2020,94
Afghanistan,3/27/2020,110
Afghanistan,3/28/2020,110
Afghanistan,3/29/2020,120
Afghanistan,3/30/2020,170
Afghanistan,3/31/2020,174
Afghanistan,4/1/2020,237
Afghanistan,4/2/2020,273
Afghanistan,4/3/2020,281
Afghanistan,4/4/2020,299
Afghanistan,4/5/2020,349
Afghanistan,4/6/2020,367
Afghanistan,4/7/2020,423
Afghanistan,4/8/2020,444
Afghanistan,4/9/2020,484
Afghanistan,4/10/2020,521
Afghanistan,4/11/2020,555
Afghanistan,4/12/2020,607
Afghanistan,4/13/2020,665
Afghanistan,4/14/2020,714
Afghanistan,4/15/2020,784
Afghanistan,4/16/2020,840
Afghanistan,4/17/2020,906
Afghanistan,4/18/2020,933
Afghanistan,4/19/2020,996
Afghanistan,4/20/2020,1026
Afghanistan,4/21/2020,1092
Afghanistan,4/22/2020,1176
Afghanistan,4/23/2020,1279
Afghanistan,4/24/2020,1351
Afghanistan,4/25/2020,1463
Afghanistan,4/26/2020,1531
Afghanistan,4/27/2020,1703
Afghanistan,4/28/2020,1828
Afghanistan,4/29/2020,1939
Afghanistan,4/30/2020,2171
Afghanistan,5/1/2020,2335
Afghanistan,5/2/2020,2469
Afghanistan,5/3/2020,2704
Afghanistan,5/4/2020,2894
Afghanistan,5/5/2020,3224
Afghanistan,5/6/2020,3392
Afghanistan,5/7/2020,3563
Afghanistan,5/8/2020,3778
Afghanistan,5/9/2020,4033
Afghanistan,5/10/2020,4402
Afghanistan,5/11/2020,4687
Afghanistan,5/12/2020,4963
Afghanistan,5/13/2020,5226
Afghanistan,5/14/2020,5639
Afghanistan,5/15/2020,6053
Afghanistan,5/16/2020,6402
Afghanistan,5/17/2020,6664
Afghanistan,5/18/2020,7072
Afghanistan,5/19/2020,7653
Afghanistan,5/20/2020,8145
Afghanistan,5/21/2020,8676
Afghanistan,5/22/2020,9216
Afghanistan,5/23/2020,9998
Afghanistan,5/24/2020,10582
Afghanistan,5/25/2020,11173
Afghanistan,5/26/2020,11831
Afghanistan,5/27/2020,12456
Afghanistan,5/28/2020,13036
Afghanistan,5/29/2020,13659
Afghanistan,5/30/2020,14525
Afghanistan,5/31/2020,15205
Afghanistan,6/1/2020,15750
Afghanistan,6/2/2020,16509
Afghanistan,6/3/2020,17267
Afghanistan,6/4/2020,18054
Afghanistan,6/5/2020,18969
Afghanistan,6/6/2020,19551
Afghanistan,6/7/2020,20342
Afghanistan,6/8/2020,20917
Afghanistan,6/9/2020,21459
Afghanistan,6/10/2020,22142
Afghanistan,6/11/2020,22890
Afghanistan,6/12/2020,23546
Afghanistan,6/13/2020,24102
Afghanistan,6/14/2020,24766
Afghanistan,6/15/2020,25527
Afghanistan,6/16/2020,26310
Afghanistan,6/17/2020,26874
Afghanistan,6/18/2020,27532
Afghanistan,6/19/2020,27878
Afghanistan,6/20/2020,28424
Afghanistan,6/21/2020,28833
Afghanistan,6/22/2020,29157
Afghanistan,6/23/2020,29481
Afghanistan,6/24/2020,29640
Afghanistan,6/25/2020,30175
Afghanistan,6/26/2020,30451
Afghanistan,6/27/2020,30616
Afghanistan,6/28/2020,30967
Afghanistan,6/29/2020,31238
Afghanistan,6/30/2020,31517
Afghanistan,7/1/2020,31836
