item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugars,protein,vitamin_a,vitamin_c,calcium,iron
"Egg McMuffin",300,120,13,5,0.2,260,730,31,4,3,18,10,0,25,15
"Sausage McMuffin",400,230,26,10,0.5,45,860,29,2,2,14,4,0,15,10
"Sausage McMuffin with Egg",480,280,31,11,0.5,285,860,30,2,2,21,10,0,25,15
"Bacon, Egg & Cheese Biscuit",460,230,26,12,0.5,260,1240,38,2,3,19,10,0,20,15
"Sausage Biscuit",430,240,27,12,0.5,40,1080,34,2,2,11,4,0,15,10
"Sausage Biscuit with Egg",510,300,33,13,0.5,235,1040,35,2,3,17,6,0,20,15
"Bacon, Egg & Cheese McGriddles",420,150,17,7,0.2,245,1110,48,2,15,17,10,0,20,10
"Sausage McGriddles",420,210,23,8,0.5,45,1020,40,2,15,11,4,0,15,10
"Sausage, Egg & Cheese McGriddles",550,270,30,12,0.5,260,1380,44,2,15,20,10,0,25,15
"Hotcakes",350,80,9,2,0,20,590,60,3,14,8,0,6,20,15
"Hotcakes and Sausage",520,220,24,7,0,45,930,61,3,14,15,6,6,25,15
"Big Breakfast",740,430,48,16,1.5,575,1510,51,3,3,27,15,2,30,20
"Big Breakfast with Hotcakes",1090,510,57,20,2,575,2150,116,6,6,36,20,4,35,25
"Hash Browns",150,80,9,1.5,0,0,310,15,1,0,1,0,0,0,2
"Big Mac",563,247,28,10,1,79,960,45,3,9,25,6,2,25,20
"Quarter Pounder with Cheese",510,230,26,12,1.5,100,1190,40,3,9,30,8,6,30,25
"McDouble",390,170,19,8,1,65,920,33,2,7,22,6,2,20,20
"McChicken",400,200,22,4,0,45,800,39,2,5,14,2,4,15,10
"Filet-O-Fish",390,180,20,4,0,45,560,38,2,5,16,4,0,15,10
"Oreo McFlurry (Regular)",510,160,18,10,0.5,50,180,74,0,64,9,15,0,35,20
"Vanilla Cone",200,45,5,3,0,20,80,32,0,28,5,10,0,20,15
"Small Fries",230,100,11,2,0,0,160,30,3,0,3,3,0,0,4
"Medium Fries",340,140,16,3,0,0,230,44,4,0,5,5,0,0,6
"Large Fries",510,220,24,4,0,0,350,67,6,0,7,7,0,0,8
